epsiode,reward
0,-15.322381688599908
1,-48.68191225899538
2,-15.042571309490148
3,-38.73603239703628
4,-11.968720615358592
5,-13.145411383005404
6,-11.7237253108864
7,-50.183691176215106
8,-10.9477266396874
9,-27.13924047521047
10,-12.037141491823881
11,-2.3685253830599695
12,9.861373160435948
13,-32.778280863486884
14,-1.4968054720163457
15,-54.78025180064876
16,-12.695940468804782
17,-41.92709551170069
18,-28.384279646478014
19,-32.527285213821635
20,-12.238159904023751
21,-38.37782051916786
22,-11.070218687341901
23,-42.391813670291285
24,-6.380429598299732
25,-16.002153084635268
26,-15.418658053596584
27,-49.17860944326035
28,-13.853955989724977
29,-35.86515509625741
30,-11.165976450974643
31,-32.12238586890571
32,-14.579301585949386
33,-59.73392878845055
34,-11.370591653467248
35,-28.89770183842794
36,-15.378871756165546
37,-42.16533033984871
38,-13.64487130414255
39,-34.8017238762581
40,-11.821787088736746
41,-13.695008447928918
42,-9.655821469545849
43,-35.13537718345259
44,-6.124336828312031
45,-31.47425722771832
46,-18.415566167454315
47,-25.727685307045288
48,-10.938761615928303
49,-11.70695036400443
50,-10.757733497235252
51,-14.569160119680198
52,-11.637858328925706
53,-22.19047893735124
54,-6.473944393926979
55,4.702443621623557
56,9.467862634000229
57,-7.553770669229943
58,-11.364918545036767
59,-30.523848329823846
60,-10.748235310878087
61,-31.18131764513903
62,-6.953208880442451
63,-26.721301477661193
64,5.8838833718227335
65,8.137423542625958
66,-10.854878046127245
67,-18.93940537419775
68,-7.324355208127531
69,-29.531261650138667
70,-10.901396441524112
71,-12.919347087238087
72,-11.038223364648868
73,-15.09075609092928
74,-13.032220963096801
75,-19.743858322279785
76,-10.919180998906837
77,-18.43001532324626
78,-16.017617558555383
79,8.407557617278643
80,-10.916963113416818
81,-14.225997353733634
82,-2.5627077774086993
83,-11.910874998005276
84,-11.24475814387527
85,-12.05528410568228
86,7.548448360513188
87,-13.44270623828981
88,9.699991924286232
89,-12.306136057225881
90,-11.339281585969877
91,7.011116289108731
92,-10.717879439605023
93,-12.884262588022597
94,-12.258692201665504
95,9.203642696204009
96,8.32641273272573
97,-4.560327473743792
98,-13.915133951537799
99,7.856391243972876
100,-7.114387987957996
101,-11.11914815241239
102,-13.128834509441457
103,-21.128484343589072
104,-11.42876119911628
105,-12.562461133550185
106,-11.008124364735583
107,-13.298021225056116
108,-12.790408161503091
109,8.943768599639943
110,-11.237633092022893
111,-15.582021977373469
112,-10.812244449863066
113,9.089902725079053
114,-11.583983050784939
115,-10.587134703975378
116,-11.2292933783961
117,-16.023451380564687
118,-11.312834158436127
119,-18.786402660472582
120,-11.119002152426537
121,-6.406328315273206
122,-4.806172711120244
123,-12.64070392508226
124,-10.983658972808682
125,9.069284682822754
126,-11.576238546858521
127,-12.852715082914138
128,-11.724487001336673
129,4.697220003578644
130,-10.917940069700698
131,-23.60657833430214
132,-11.148913721637783
133,-12.516878449090154
134,-11.236576573491483
135,-13.407942760915898
136,-11.103468679245264
137,-23.8620739614686
138,-12.967169978827851
139,7.139549857214041
140,-12.589133130593895
141,-11.927561051208759
142,-11.011329440270725
143,-17.996610752278468
144,-11.339506517706976
145,3.9298559350850297
146,-9.02298745248392
147,-12.472932266092831
148,-11.136720571505483
149,-11.357573526740797
150,-11.831140278471047
151,-3.579760408605815
152,-11.009919921561503
153,-18.165848444933555
154,-11.265006240107944
155,-7.898918284514719
156,-11.356303206235632
157,-14.981660320522213
158,-7.042887291430081
159,-14.057402971208482
160,-10.807597518507341
161,-20.88957608905538
162,-11.18330324458596
163,-15.67751584708968
164,-11.15257508697962
165,-12.605118462811728
166,-3.7844496400747554
167,-20.72037845970546
168,-11.046209651959954
169,-12.543434369174381
170,-12.94564057663358
171,-12.677608656701223
172,3.4810963883887522
173,-20.000555851225425
174,-12.990709567310219
175,-15.341227815416069
176,-10.915585528829881
177,7.86470747871804
178,-11.139021757806672
179,-20.515264694685875
180,-11.564058039524166
181,-17.66697707604599
182,-11.73450522421541
183,-13.450204424217542
184,-1.0278186935460365
185,-13.205415567413164
186,7.242715088638696
187,-14.40517390716333
188,-12.971168426776432
189,-13.201611850428037
190,-12.585759004574651
191,-12.185667339413678
192,-15.082079062648603
193,-0.8207777010007444
194,-12.352470557334154
195,8.835271202432542
196,-11.082475782195392
197,-12.952644955267482
198,-10.767343617437403
199,-7.281572492983354
200,-7.30847656995085
201,-5.216058234208945
202,8.518540667110848
203,-14.127221020729051
204,-13.117433324349165
205,-14.374333128268711
206,-4.452027845333464
207,-12.415226607365907
208,-11.009801850105548
209,8.52703802761449
210,-12.461407299965837
211,-8.680621392003601
212,-11.521827067267209
213,-10.46791914792262
214,-11.120531708382165
215,-13.151684157788456
216,-12.254565723611945
217,-6.714267139942617
218,-14.350992501428493
219,8.48734570750556
220,5.135700906036263
221,-13.720929278390571
222,-3.0611307128260297
223,-13.629513737081428
224,-2.7909899285303204
225,-13.910206204301009
226,-10.936610452644603
227,-13.358695612799377
228,8.471983148628139
229,-14.807421825159187
230,-11.522813712546087
231,-13.536324478849513
232,-10.788705424285894
233,-7.267289186697303
234,-0.5220877395004525
235,8.914968964228196
236,-6.713603622140086
237,9.38658270981924
238,9.884750529315859
239,9.396018460948321
240,-8.886759809746032
241,9.420965083413485
242,-11.060447850908945
243,-12.663403702156295
244,-10.898671680782098
245,-16.784843583907172
246,-10.879474333825636
247,8.818147492907265
248,-10.731763886889473
249,-14.062316928852898
250,-10.980141767210414
251,-12.809557460273432
252,-13.688215324643265
253,9.351548953636485
254,-10.852031228775544
255,9.681362680878916
256,-14.349521462726418
257,9.518998419844918
258,-10.79320068259586
259,-5.975468168097741
260,-14.490698643354548
261,8.124232888581066
262,9.329234075431536
263,-13.23764312773571
264,-12.14624452306544
265,-16.767206149832322
266,-10.968368554673264
267,9.648335330006583
268,-11.281282802909775
269,-20.539304510569085
270,-10.953405988442723
271,9.428837192494019
272,-11.071657180672263
273,-11.626115796866145
274,-11.169451405991023
275,8.47613920335357
276,-11.094990252267197
277,9.37182176717764
278,-16.036590799835956
279,8.932720819154895
280,-5.314130870802655
281,-9.275686813669644
282,-11.350619507677388
283,-15.233842155678825
284,-11.172907309055198
285,8.79809657462199
286,-10.896180907314175
287,-11.917755170139255
288,-11.240706691637017
289,-12.01382711386093
290,-11.690405393462866
291,-14.454212613254104
292,-11.170610256779474
293,-12.768112725813715
294,-8.144931416925692
295,-15.709690890088783
296,-12.583567649789153
297,-1.9595933309432223
298,-11.133265303579384
299,-20.33557045578348
300,-14.372257604415232
301,-13.484805386225347
302,-10.92865385362511
303,-13.193095716672694
304,-12.73177319991513
305,-12.800598070914756
306,-10.959997310133621
307,9.553305456039595
308,9.289376849510674
309,-12.391846833734192
310,-11.272174670566573
311,-15.00732808648458
312,-11.425586486763022
313,-13.751942802294074
314,-10.855923885010817
315,-1.0647513525947143
316,-10.961709030856598
317,-12.661550695047518
318,-11.258571352028115
319,-15.538760120436468
320,9.930890512348288
321,8.528407205983843
322,-11.220121333603284
323,-10.797629896521476
324,9.804740656617296
325,-12.045149718500637
326,-11.423903030494865
327,7.8728174826615245
328,-10.881754580209279
329,-15.18561165925369
330,-15.072229140802415
331,9.581234366871882
332,-10.994302530368419
333,-11.530106913992363
334,-1.1966098490821346
335,-11.105334171143475
336,-11.250692539880358
337,8.183154299415111
338,-10.849948721833544
339,9.022140373126248
340,-11.147598673105268
341,-12.712180835905588
342,9.716453690091152
343,-14.185767915214278
