episode,reward,opponent
0,-39.106724285126575,def_bot
1,-13.711110865816865,agent3
2,-27.45094671873588,agent5_shit_agent
3,-18.831753963544703,atk_bot
4,-10.817955267739785,agent2
5,-43.3795969450076,agent_trained_vs_league1
6,-12.136657310858851,weak_bot
7,-11.311227948723658,agent3
8,-13.304899810338723,atk_bot
9,-32.97324773757455,agent2
10,-11.055505430700265,agent2
11,-32.39299317085544,def_bot
12,-34.67706367449881,prev_self
13,-8.155102820065089,atk_bot
14,-11.571102254596193,agent_trained_vs_league1
15,-29.506603520854338,agent_trained_vs_league1
16,0.0,agent5_shit_agent
17,-33.08357931124348,agent4
18,0.0,agent_trained_vs_strong_bot
19,-35.53568727613201,agent2
20,-11.275849066377875,agent2
21,-41.15326035913915,prev_self
22,-10.932933440978076,atk_bot
23,-10.828803141489598,agent4
24,-26.1388435675995,def_bot
25,-12.26710677019757,atk_bot
26,-40.277098128560496,agent_trained_vs_strong_bot
27,0.0,agent_trained_vs_strong_bot
28,-33.60118089285421,agent3
29,-12.313002674061304,atk_bot
30,-14.882039714238228,agent4
31,-12.908761029258176,strong_bot
32,-49.38481621841183,weak_bot
33,-42.78684796396515,strong_bot
34,-36.87107895558574,agent_trained_vs_defense_bot
35,-11.39430936356832,strong_bot
36,-11.24591288256912,agent2
37,-12.163056879095505,def_bot
38,-35.291004744989074,prev_self
39,3.6186422182887856,def_bot
40,-10.897147435882323,agent_trained_vs_league1
41,-33.034407696378764,agent_trained_vs_defense_bot
42,0.0,prev_self
43,-19.51370947501361,agent_trained_vs_league1
44,-17.56296948908914,agent3
45,-32.59653966638896,prev_self
46,0.0,agent_trained_vs_attack_bot
47,-26.056265113092994,agent4
48,9.169682205922532,atk_bot
49,-11.409125286685748,weak_bot
50,8.390437114710206,strong_bot
51,0.0,agent_trained_vs_attack_bot
52,-37.19992015015234,agent3
53,0.0,agent_trained_vs_strong_bot
54,-7.5798243616629035,def_bot
55,-29.58845850038359,agent_trained_vs_defense_bot
56,-11.334216709698126,agent_trained_vs_league1
57,-29.940248825412596,agent_trained_vs_strong_bot
58,0.0,agent2
59,-15.177679341927966,prev_self
60,-12.044676173496217,strong_bot
61,8.154134550955547,agent_trained_vs_attack_bot
62,-21.633646973170514,weak_bot
63,-16.067263060493655,weak_bot
64,-41.72337817572118,agent_trained_vs_league1
65,-3.395986841850456,agent_trained_vs_strong_bot
66,-12.297432995535557,atk_bot
67,-15.372403663470884,weak_bot
68,-12.920703200483434,agent2
69,-16.812255551934015,atk_bot
70,-11.922114885748883,agent4
71,-33.193865736918795,agent4
72,-19.899247160768045,strong_bot
73,-13.087224789735222,agent_trained_vs_defense_bot
74,-12.582155800858576,def_bot
75,-31.66855490992518,agent5_shit_agent
76,-11.5087872373371,agent2
77,-17.557372395340604,agent_trained_vs_league1
78,9.067049271208083,strong_bot
79,-11.375658467654961,weak_bot
80,-11.322793194869325,agent_trained_vs_defense_bot
81,-19.7977715489668,agent_trained_vs_defense_bot
82,-11.473648290965205,agent2
83,-16.784881360488153,agent_trained_vs_strong_bot
84,-12.970797908596886,agent_trained_vs_attack_bot
85,-37.61797263299718,agent3
86,-19.927968195362574,atk_bot
87,-13.528740431401262,weak_bot
88,-21.187093529076165,strong_bot
89,0.0,agent5_shit_agent
90,-11.880036999023604,atk_bot
91,-25.671086718581105,agent_trained_vs_attack_bot
92,-16.03372752476862,agent3
93,-43.658246411958,agent5_shit_agent
94,-10.968198541912729,agent4
95,5.371304047253813,def_bot
96,-18.840902906512227,def_bot
97,-41.90865302922971,agent4
98,0.0,agent_trained_vs_strong_bot
99,-47.80850372588547,agent3
100,0.0,agent2
101,-1.5246722283183596,agent5_shit_agent
102,0.0,prev_self
103,-30.081850389896378,agent4
104,-13.922123677328416,strong_bot
105,0.0,agent_trained_vs_strong_bot
106,-7.368653696222858,atk_bot
107,4.427369431638096,def_bot
108,-10.657720033328085,def_bot
109,-18.993186422565216,agent3
110,-10.81669208955443,weak_bot
111,-10.848079296560067,agent3
112,-13.569009683724572,atk_bot
113,-17.961195217723844,strong_bot
114,-32.88529873284348,agent_trained_vs_league1
115,-27.449963849649805,def_bot
116,0.0,prev_self
117,-13.215014451479565,atk_bot
118,-14.689224517466897,agent3
119,-10.867089784864996,agent_trained_vs_league1
120,5.016404407443906,agent_trained_vs_strong_bot
121,-14.914053388128515,weak_bot
122,-10.690840900995996,agent_trained_vs_league1
123,-12.662584999770278,agent_trained_vs_defense_bot
124,-13.775756536595607,agent_trained_vs_defense_bot
125,-33.66720016504945,agent5_shit_agent
126,-12.702971812259701,atk_bot
127,0.0,agent_trained_vs_strong_bot
128,-28.80587277326452,agent4
129,-12.628278313891446,atk_bot
130,-17.185105334187263,atk_bot
131,-10.712841910841448,weak_bot
132,-12.013860986827991,agent4
133,5.147429765404062,agent_trained_vs_defense_bot
134,5.3911897921624785,weak_bot
135,-5.192473745566942,strong_bot
136,-12.946705171354871,agent3
137,-4.366077378700747,agent_trained_vs_strong_bot
138,-10.85892604014295,agent_trained_vs_defense_bot
139,-0.8092134460687337,agent_trained_vs_league1
140,-10.734003501865146,weak_bot
141,0.0,agent2
142,7.653609946024078,agent_trained_vs_attack_bot
143,-11.818052455717465,agent4
144,-15.13935829711833,agent_trained_vs_defense_bot
145,7.680776844256859,prev_self
146,-11.302480176850827,strong_bot
147,-23.596688219241827,agent5_shit_agent
148,-11.899369795111742,agent_trained_vs_attack_bot
149,-7.760708934190404,atk_bot
150,-13.030736672172896,agent3
151,-11.693574120264621,agent4
152,2.353905980626304,agent_trained_vs_attack_bot
153,-11.565846065293275,agent_trained_vs_attack_bot
154,-14.634147125192886,agent_trained_vs_league1
155,0.0,agent_trained_vs_attack_bot
156,-5.188269589626327,agent_trained_vs_strong_bot
157,-26.27889353305335,def_bot
158,0.0,agent5_shit_agent
159,-17.330073499449725,atk_bot
160,8.217876673178244,agent_trained_vs_defense_bot
161,-20.081473863119378,weak_bot
162,-12.381587409957392,strong_bot
163,0.0,prev_self
164,-15.00209848403651,agent3
165,8.493551102498936,atk_bot
166,0.0,agent5_shit_agent
167,-21.152584375668948,agent4
168,-11.550567636795572,agent_trained_vs_league1
169,4.593996476556394,agent_trained_vs_league1
170,0.0,prev_self
171,-12.51516660346814,strong_bot
172,-14.982686128859665,agent2
173,9.061389385479963,agent4
174,-10.906655920514254,weak_bot
175,-11.742725527918035,agent2
176,-14.929536278616755,agent2
177,-13.43564467852766,agent_trained_vs_league1
178,-14.185144983110227,agent_trained_vs_defense_bot
179,-22.793186712267797,agent_trained_vs_league1
180,9.415491772665316,agent_trained_vs_defense_bot
181,-14.219682256082926,agent_trained_vs_strong_bot
182,-24.760274404316625,def_bot
183,-10.706578603915291,agent3
184,-16.32791715362966,agent3
185,-12.912017496050227,def_bot
186,-10.837771294718324,agent3
187,-15.410070200290013,atk_bot
188,-13.201658690858329,agent_trained_vs_league1
189,9.822318275208806,strong_bot
190,-4.740939054002373,atk_bot
191,-31.239999948271596,weak_bot
192,-12.33320953508777,agent_trained_vs_league1
193,-27.47563368665238,agent3
194,-16.765527010967958,def_bot
195,8.15086394128411,agent4
196,-17.041695654329203,atk_bot
197,-10.9959319505493,def_bot
198,-14.379653742737005,weak_bot
199,-10.802186648786925,agent5_shit_agent
200,-11.233500379219059,agent_trained_vs_league1
201,-15.306934646548612,weak_bot
202,-15.465360107355936,weak_bot
203,-21.435548172711417,agent_trained_vs_league1
204,-13.837159391045173,agent3
205,3.0662858776815813,agent_trained_vs_strong_bot
206,-10.98705040941911,agent2
207,-5.908215678225579,agent3
208,-13.917391653007147,agent4
209,-30.42529958981173,prev_self
210,-6.744290521628192,def_bot
211,-12.39215985940798,agent3
212,9.019986655212188,atk_bot
213,-27.612276492527535,agent_trained_vs_strong_bot
214,-10.806630663540666,agent_trained_vs_league1
215,8.96382465075507,agent2
216,-21.085969383916723,def_bot
217,-12.417880088611298,agent4
218,-14.484518833996736,agent3
219,-14.04682766815681,agent3
220,-8.795613232110554,def_bot
221,-13.386688948017241,weak_bot
222,-27.714563216753305,agent_trained_vs_attack_bot
223,-10.593920373768803,agent3
224,-8.9965802543195,def_bot
225,5.955852718063408,agent_trained_vs_league1
226,-12.919333532498893,agent4
227,-10.64220083607,weak_bot
228,-13.532506432411058,weak_bot
229,-16.108331972037874,strong_bot
230,-19.679401075995983,def_bot
231,7.103545826929073,agent_trained_vs_strong_bot
232,9.720752701248216,agent_trained_vs_defense_bot
233,-14.98652894925587,weak_bot
234,-14.781632965082736,strong_bot
235,-28.216611886215034,weak_bot
236,-15.167838053835151,weak_bot
237,-24.902505435747347,agent_trained_vs_league1
238,5.420357542122701,def_bot
239,4.990507765323278,agent3
240,-14.867939374123914,agent_trained_vs_strong_bot
241,8.48523565872795,agent_trained_vs_attack_bot
242,0.9331744472225303,agent4
243,-17.738630166264013,def_bot
244,-22.180010319871506,def_bot
245,0.0,agent_trained_vs_strong_bot
246,-14.949088277357628,agent_trained_vs_strong_bot
247,-12.31433106597175,strong_bot
248,-18.126392419631795,weak_bot
249,-18.89771540288468,def_bot
250,-10.688472465488994,agent3
251,-12.202644489427044,agent3
252,-11.370201655993586,agent4
253,10.0,def_bot
254,4.591880590771309,agent_trained_vs_defense_bot
255,-23.023514127991582,def_bot
256,-17.11336783307722,strong_bot
257,0.0,agent5_shit_agent
258,-9.49092423862804,def_bot
259,-12.444140937524878,atk_bot
260,-8.121510906111872,def_bot
261,-8.826784000632108,atk_bot
262,7.861489683519464,agent3
263,-11.154322438857974,agent4
264,-7.655799311034941,strong_bot
265,-24.34726160205253,agent4
266,-22.233955523310904,def_bot
267,-12.186985630312043,agent4
268,-17.012187512507644,atk_bot
269,8.320264216043313,agent3
270,-5.596437768843327,def_bot
271,8.410874605462293,agent_trained_vs_strong_bot
272,-18.153842255154963,agent3
273,0.0,agent3
274,-0.2107429062638566,agent_trained_vs_league1
275,-11.148763141466892,weak_bot
276,-11.529831371836925,strong_bot
277,-10.692830364190025,agent_trained_vs_league1
278,-14.015665199022555,agent4
279,-11.768445194221293,strong_bot
280,-11.074718418983151,agent_trained_vs_league1
281,5.082476498955205,strong_bot
282,-18.573629467113484,agent_trained_vs_league1
283,-13.015737157982546,agent3
284,-5.253607587420081,atk_bot
285,-16.165820393144365,weak_bot
286,-14.0651526363493,agent_trained_vs_defense_bot
287,-16.73204348292039,atk_bot
288,-22.951034624234186,def_bot
289,-11.704409318174735,agent4
290,-14.500712530303403,strong_bot
291,-28.585748722176223,agent_trained_vs_league1
292,-10.808558377682317,agent_trained_vs_league1
293,-18.522088250835694,agent3
294,0.0,agent2
295,-12.13058265258227,weak_bot
296,-6.143242243217954,atk_bot
297,-18.459617484990037,agent3
298,-9.352540427197091,atk_bot
299,-13.957714212990513,agent3
300,-14.516118661724962,agent_trained_vs_attack_bot
301,-14.082449118204204,agent_trained_vs_strong_bot
302,-7.3134057534216375,atk_bot
303,9.265587143744423,agent5_shit_agent
304,0.0,agent4
305,-6.846825496906754,def_bot
306,-12.622007059102836,agent3
307,-10.875179332460204,agent_trained_vs_league1
308,9.046010216651155,weak_bot
309,-24.518898117612054,agent4
310,-3.7276835999981817,strong_bot
311,0.0,agent2
312,-4.26292127375674,agent_trained_vs_strong_bot
313,-6.533407001580948,def_bot
314,-11.427770571266661,agent_trained_vs_attack_bot
315,-17.748184114657274,agent_trained_vs_attack_bot
316,-11.43852044258933,agent4
317,-21.49301916593719,agent_trained_vs_league1
318,0.0,agent5_shit_agent
319,-21.260129312890463,atk_bot
320,-17.267417372351726,agent_trained_vs_strong_bot
321,0.0,agent5_shit_agent
322,-15.678188560634384,agent_trained_vs_defense_bot
323,-11.293012993218404,weak_bot
324,0.5904111434473478,agent_trained_vs_defense_bot
325,-15.859755369763619,agent2
326,7.882503589315073,def_bot
327,-13.30158145594716,atk_bot
328,0.0,agent2
329,-19.1902202798408,prev_self
330,-11.473656178744841,agent2
331,8.641619013393868,agent4
332,-17.224883892506664,atk_bot
333,8.918871940572243,agent_trained_vs_league1
334,-10.894649471453642,weak_bot
335,9.088774579740393,agent3
336,-12.984078074549197,agent_trained_vs_defense_bot
337,-13.026146478435606,agent2
338,-17.928719027425768,strong_bot
339,-11.799345654895129,atk_bot
340,-0.7252012870671225,weak_bot
341,-12.507982827394436,agent_trained_vs_league1
342,9.039688240990367,agent3
343,-10.968892900168454,agent_trained_vs_league1
344,-29.88189477216942,weak_bot
345,-12.436358835592488,agent2
346,-13.203507597958918,agent3
347,8.59527528465862,agent_trained_vs_defense_bot
348,9.29684818290575,agent4
349,-11.879171970063046,agent2
350,0.0,agent5_shit_agent
351,-11.340368752188299,weak_bot
352,-18.711773430261992,def_bot
353,-13.582527645180818,agent_trained_vs_defense_bot
354,-11.106210429707222,agent_trained_vs_league1
355,-11.742836391257253,atk_bot
356,-32.101101645296765,def_bot
357,9.43800123033977,agent3
358,-13.506733629674406,weak_bot
359,-11.873097814956502,atk_bot
360,0.0,agent_trained_vs_attack_bot
361,-33.52439436774209,agent2
362,0.0,prev_self
363,-13.718966980159513,agent_trained_vs_strong_bot
364,-5.953822150733641,weak_bot
365,0.0,agent_trained_vs_attack_bot
366,-14.708726471297526,agent_trained_vs_attack_bot
367,-14.082260839522856,atk_bot
368,0.0,agent4
369,-11.36803485891589,weak_bot
370,-11.71823591890964,strong_bot
371,-12.91202364868652,atk_bot
372,-14.950766036612213,weak_bot
373,9.45586767523517,agent_trained_vs_league1
374,-15.949240835587249,atk_bot
375,-8.600566997336129,def_bot
376,0.0,agent5_shit_agent
377,-11.53382413773883,weak_bot
378,-17.57542176993041,agent_trained_vs_league1
379,-12.761622235494828,atk_bot
380,9.642991942788324,weak_bot
381,-7.162212006250219,agent3
382,-7.004732689900147,atk_bot
383,-7.488336906970959,def_bot
384,-3.613095735313671,agent5_shit_agent
385,7.291487304657508,strong_bot
386,-11.158364120536811,agent_trained_vs_league1
