episode,reward,opponent
0,-27.802313145823,def_bot
1,5.939646697380353,agent_trained_vs_attack_bot
2,-30.112074392302333,agent_trained_vs_league2
3,8.674378274765413,agent_trained_vs_defense_bot
4,-15.844509152609069,prev_self
5,-11.599957570451542,agent_trained_vs_defense_bot
6,-46.72383850386027,agent_trained_vs_league2
7,-13.692743680166592,agent4
8,-11.454202248976943,weak_bot
9,-30.155214715635672,def_bot
10,-29.52480542475945,agent5_shit_agent
11,-12.966941688994021,agent3
12,-34.913845281022446,agent2
13,-13.48422361596243,strong_bot
14,-10.715873301255012,agent4
15,-18.59426206717522,agent4
16,-45.68872483540773,strong_bot
17,-9.463063934806081,strong_bot
18,-13.217655217584927,agent3
19,-11.6996091480862,atk_bot
20,-38.23439858181871,agent_trained_vs_attack_bot
21,-36.8655173600648,strong_bot
22,0.0,agent5_shit_agent
23,-25.979328316995126,agent_trained_vs_league1
24,-11.973921775081514,agent_trained_vs_league1
25,-28.954253248794416,agent_trained_vs_defense_bot
26,-11.032006204602927,agent_trained_vs_league2
27,-42.64340458588107,agent_trained_vs_defense_bot
28,-32.116072677320496,weak_bot
29,-33.87031732978372,def_bot
30,0.0,agent_trained_vs_strong_bot
31,-19.574395792020503,prev_self
32,-17.952115588842588,agent_trained_vs_defense_bot
33,-7.058146510352865,weak_bot
34,7.745213914938236,agent_trained_vs_attack_bot
35,-11.961189626298951,agent_trained_vs_league1
36,-26.483449969998087,agent_trained_vs_strong_bot
37,-16.2860206918711,agent3
38,-8.940317071457855,atk_bot
39,-14.304068804067345,agent4
40,-10.901669389828246,agent_trained_vs_league1
41,-16.739832564983374,agent_trained_vs_league1
42,-11.46455322691861,agent_trained_vs_attack_bot
43,-17.770464109718496,agent_trained_vs_defense_bot
44,-34.971436261763145,weak_bot
45,-24.511557671395067,def_bot
46,-6.615225060514849,atk_bot
47,0.0,agent_trained_vs_strong_bot
48,7.360783179356297,agent_trained_vs_strong_bot
49,-11.104554962877991,agent4
50,-14.71876817616985,agent3
51,-10.794815940540278,agent2
52,-21.202961081925253,prev_self
53,-14.392604439194297,agent_trained_vs_defense_bot
54,-27.184718698415924,agent_trained_vs_league2
55,-12.07021831678409,agent2
56,-15.319296726931881,strong_bot
57,-21.5561422309329,prev_self
58,-12.832557308267301,atk_bot
59,-5.515134065456609,agent3
60,-14.27581892761267,def_bot
61,-4.083803297672248,atk_bot
62,-12.857862607888816,atk_bot
63,-30.667602836648882,def_bot
64,-23.572813804187813,agent_trained_vs_defense_bot
65,-13.019815014837981,atk_bot
66,-11.583082215605119,agent4
67,-15.428130456048699,agent5_shit_agent
68,-41.36954815341121,agent_trained_vs_league1
69,-12.275765577076692,atk_bot
70,-18.504828698100287,strong_bot
71,-13.440830620554618,atk_bot
72,-11.14364450756739,weak_bot
73,8.15800871977558,agent_trained_vs_attack_bot
74,9.465390659911296,agent_trained_vs_defense_bot
75,-34.55084495205161,def_bot
76,-52.453878767973634,agent_trained_vs_league2
77,-11.077525830953409,agent_trained_vs_league1
78,-20.717481336094135,agent3
79,-11.09273278995108,agent2
80,-34.775270517776086,agent3
81,9.337059516915538,agent_trained_vs_attack_bot
82,3.4973090886605105,agent5_shit_agent
83,-10.965153462661043,agent_trained_vs_league1
84,-17.332541346012096,agent_trained_vs_league1
85,-12.94072073290052,agent4
86,-12.022209770481336,atk_bot
87,-29.67101778691719,weak_bot
88,-38.35453653110573,agent_trained_vs_defense_bot
89,-12.077254789415198,agent_trained_vs_strong_bot
90,-12.217465342214958,strong_bot
91,-31.23921431219137,strong_bot
92,-11.66893359995608,strong_bot
93,-21.045142946886035,agent5_shit_agent
94,-3.8152873746826614,def_bot
95,-21.88635604224511,atk_bot
