episode,reward,opponent
0,0.0,agent5_shit_agent
1,9.043785899852573,strong_bot
2,-12.32133230780468,atk_bot
3,-13.173554786384027,atk_bot
4,-44.78649223588428,agent5_shit_agent
5,-2.7875205991914216,agent_trained_vs_strong_bot
6,-41.64531297781614,prev_self
7,-10.955255351990017,agent_trained_vs_league1
8,-11.779152672525388,weak_bot
9,-51.07286840004941,agent_trained_vs_defense_bot
10,0.0,prev_self
11,-50.548473018894875,agent5_shit_agent
12,8.963987789695446,prev_self
13,-39.57718691508713,agent4
14,-11.187548569300333,agent3
15,-12.399260594594772,atk_bot
16,-34.19925545923134,agent_trained_vs_league1
17,-14.758448477269813,agent2
18,-31.35722917029155,agent_trained_vs_strong_bot
19,-8.944394603244389,agent_trained_vs_league2
20,-6.646859239881383,agent_trained_vs_league1
21,-14.29280243824775,agent_trained_vs_strong_bot
22,-28.94025347156553,agent4
23,0.0,agent_trained_vs_attack_bot
24,-27.427955964273934,agent2
25,0.0,agent_trained_vs_attack_bot
26,-21.05601466698808,agent_trained_vs_strong_bot
27,8.200887865637567,agent3
28,-27.99988870612921,agent3
29,-1.9838424998801059,def_bot
30,-12.393921913540405,agent_trained_vs_league1
31,-13.042246509849367,atk_bot
32,-23.309106204876578,agent_trained_vs_attack_bot
33,-11.79849353397915,agent_trained_vs_league2
34,-18.74648079932728,def_bot
35,6.203554080188374,agent_trained_vs_defense_bot
36,-11.944013574229261,agent_trained_vs_defense_bot
37,-49.39693874563312,agent_trained_vs_league2
38,-23.457798449556385,def_bot
39,-12.925511012045133,atk_bot
40,-4.362212274407898,agent_trained_vs_attack_bot
41,-28.625955381366673,agent5_shit_agent
42,-21.82859600858251,strong_bot
43,-13.258533004222889,agent3
44,-14.968021651786055,prev_self
45,-11.557318966772725,prev_self
46,-21.59441216894389,agent4
47,-19.800010518027104,def_bot
48,-8.39253487613258,atk_bot
49,-11.266161480034835,strong_bot
50,-13.217973813476595,agent_trained_vs_strong_bot
51,-30.3606821682645,agent_trained_vs_league2
52,-15.11665815458643,agent2
53,-12.237607776967529,agent_trained_vs_league1
54,-12.436648938278449,agent_trained_vs_league2
55,-16.725984584202997,agent4
56,-11.098045606842021,agent_trained_vs_league1
57,-6.644455327332195,agent_trained_vs_defense_bot
